Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Year
9.0,0.11223578445966065,1.0,0.21155498838034104,13.0,0.2910885642686878,6.0,2.0,3.0,1.0,2.0
15.0,0.497370249082068,2.0,0.41385025819003657,1.0,0.09991493999959253,5.0,1.0,2.0,4.0,3.0
20.0,0.2762727002083954,1.0,0.5449444985293865,7.0,0.6408082567623549,3.0,2.0,2.0,3.0,1.0
30.0,0.4847672918527339,1.0,0.6373343773257643,15.0,0.48156948434284785,10.0,2.0,1.0,3.0,3.0
18.0,0.7469484965763622,1.0,0.15581252365057385,13.0,0.22184615854776604,9.0,2.0,3.0,1.0,2.0
49.0,0.6338195891634415,1.0,0.026329690418875822,10.0,0.07391136781913632,6.0,2.0,3.0,1.0,2.0
19.0,0.5683239059243823,1.0,0.2613979186645258,1.0,0.8483792759203798,7.0,2.0,3.0,1.0,2.0
37.0,0.1211670139922596,1.0,0.049273834582458015,5.0,0.3727521069752596,7.0,2.0,3.0,1.0,2.0
32.0,0.6635903542721047,2.0,0.3436680488796732,12.0,0.34266022180116673,7.0,2.0,3.0,1.0,2.0
51.0,0.44924084548972903,2.0,0.17758994927381017,2.0,0.09325784894973821,1.0,1.0,1.0,1.0,1.0
17.0,0.5802322119678476,1.0,0.3903960409781417,6.0,0.19500471989623022,9.0,2.0,3.0,1.0,2.0
28.0,0.9315272402500745,1.0,0.18707653642508262,7.0,0.9684895992502498,9.0,2.0,3.0,1.0,2.0
48.0,0.8898481690979458,1.0,0.037354516989749606,5.0,0.6552285584282406,9.0,2.0,3.0,1.0,2.0
48.0,0.3926763917832688,1.0,0.08846164063034076,10.0,0.570303533470516,6.0,2.0,3.0,1.0,2.0
15.0,0.2238761536171479,2.0,0.17226330155933475,6.0,0.47688948651603746,3.0,2.0,2.0,3.0,1.0
4.0,0.8660315570110153,1.0,0.28737795589608783,4.0,0.8599625464349504,6.0,2.0,3.0,1.0,2.0
11.0,0.9106877046740103,2.0,0.05316987978676624,7.0,0.13382688507222465,4.0,3.0,2.0,1.0,3.0
36.0,0.26317356356058347,2.0,0.18779330883355452,12.0,0.22764331166934923,2.0,1.0,2.0,2.0,2.0
16.0,0.8213754093480203,1.0,0.29470550973842374,4.0,0.2553336525205605,6.0,2.0,3.0,1.0,2.0
48.0,0.8898481690979458,1.0,0.03746185628182579,5.0,0.6526818518292145,6.0,2.0,3.0,1.0,2.0
22.0,0.23935695147365282,1.0,0.06278952652744176,2.0,0.3184996162962058,2.0,1.0,2.0,2.0,2.0
21.0,0.2845092785551256,1.0,0.36384036046297813,10.0,0.9885398203043825,10.0,2.0,1.0,3.0,3.0
38.0,0.06787734444775234,2.0,0.19734807909526525,13.0,0.966088054927368,9.0,2.0,3.0,1.0,2.0
27.0,0.6814528133373028,1.0,0.11501410687803852,7.0,0.4747893024740406,8.0,2.0,1.0,1.0,1.0
18.0,0.38374516225066985,1.0,0.3154609584051499,13.0,0.39522594380946563,6.0,2.0,3.0,1.0,2.0
6.0,0.6427508186960404,1.0,0.21848526820555858,7.0,0.25718765492465145,4.0,3.0,2.0,1.0,3.0
20.0,0.30038701994641254,1.0,0.10083820521659352,4.0,0.47379523799822076,1.0,1.0,1.0,1.0,1.0
48.0,0.8898481690979458,1.0,0.07371618863099803,5.0,0.6526818518292145,10.0,2.0,1.0,3.0,3.0
17.0,0.48198868710925874,2.0,0.2228811299482647,8.0,0.6837678014791273,4.0,3.0,2.0,1.0,3.0
9.0,0.2009526644834772,1.0,0.17225363002146832,8.0,0.3843464132184259,8.0,2.0,1.0,1.0,1.0
17.0,0.8809169395653469,2.0,0.04621631704775665,7.0,0.33516526428023286,6.0,2.0,3.0,1.0,2.0
20.0,0.7767192616850254,2.0,0.15309263658819214,14.0,0.062462223852114446,8.0,2.0,1.0,1.0,1.0
47.0,0.5117594522179221,1.0,0.27419920066709963,5.0,0.5372294548689635,9.0,2.0,3.0,1.0,2.0
7.0,0.493896993152724,2.0,0.45804916366176784,4.0,0.9454571847686573,1.0,1.0,1.0,1.0,1.0
10.0,0.9315272402500745,2.0,0.36195677201881893,7.0,0.2804993582299371,4.0,3.0,2.0,1.0,3.0
10.0,0.019350997320631114,2.0,0.39960675531140144,6.0,0.10076384219926793,4.0,3.0,2.0,1.0,3.0
8.0,0.30038701994641254,1.0,0.2519846870081193,6.0,0.3129817519983158,7.0,2.0,3.0,1.0,2.0
9.0,0.8422149449240846,2.0,0.2724948199493596,3.0,0.6453320565844249,7.0,2.0,3.0,1.0,2.0
8.0,0.3477225364691872,1.0,0.08528040869127577,16.0,0.5444451235662041,6.0,2.0,3.0,1.0,2.0
18.0,0.18398332837153913,2.0,0.25172641363862863,7.0,0.04465734911612304,8.0,2.0,1.0,1.0,1.0
20.0,0.04197677880321521,2.0,0.1175343788996469,6.0,0.5543195539528282,9.0,2.0,3.0,1.0,2.0
23.0,0.6338195891634415,1.0,0.28753597839795514,10.0,0.36103470991314035,4.0,3.0,2.0,1.0,3.0
65.0,0.44924084548972903,1.0,0.07566281858917033,11.0,0.6234167973976055,3.0,2.0,2.0,3.0,1.0
43.0,0.4611491515331944,1.0,0.204012114537133,2.0,0.3234478672181136,7.0,2.0,3.0,1.0,2.0
15.0,0.5390493202341966,1.0,0.33427332697039736,12.0,0.5228312246602693,10.0,2.0,1.0,3.0,3.0
44.0,0.23072342959214048,1.0,0.042282241476436944,2.0,0.702834993786036,9.0,2.0,3.0,1.0,2.0
17.0,0.6516820482286394,2.0,0.3009425863973851,4.0,0.7015616404865228,7.0,2.0,3.0,1.0,2.0
18.0,0.7618338791306938,1.0,0.03418293401068252,8.0,0.18172364498230895,8.0,2.0,1.0,1.0,1.0
8.0,0.11134266150640071,1.0,0.021218004538176207,12.0,0.36201773866036446,2.0,1.0,2.0,2.0,2.0
25.0,0.6608117495286296,2.0,0.07417728412486065,12.0,0.5492482122119675,10.0,2.0,1.0,3.0,3.0
38.0,0.1211670139922596,1.0,0.31400143159285754,4.0,0.23090479392050203,9.0,2.0,3.0,1.0,2.0
16.0,0.5087823757070555,2.0,0.29432680191310734,8.0,0.7108995646829521,2.0,1.0,2.0,2.0,2.0
25.0,0.7856504912176243,1.0,0.033830805467964034,4.0,0.549393374488112,9.0,2.0,3.0,1.0,2.0
48.0,0.16165525454004165,1.0,0.13229710604721814,10.0,0.29392559542000285,8.0,2.0,1.0,1.0,1.0
57.0,0.8124441798154212,1.0,0.16969748176675992,5.0,0.8032974757044191,2.0,1.0,2.0,2.0,2.0
67.0,0.3242036320333432,1.0,0.055047987966472256,5.0,0.935426556377293,6.0,2.0,3.0,1.0,2.0
28.0,0.5579041381363501,1.0,0.15632567344660764,4.0,0.3132831122792006,10.0,2.0,1.0,3.0,3.0
53.0,0.6635903542721047,1.0,0.08401491402862847,11.0,0.04620999123932931,7.0,2.0,3.0,1.0,2.0
55.0,0.7767192616850254,1.0,0.21839051197012294,5.0,0.8383376118004197,1.0,1.0,1.0,1.0,1.0
18.0,0.9315272402500745,2.0,0.17381645160856907,4.0,0.41204778979823287,2.0,1.0,2.0,2.0,2.0
11.0,0.5236677582613873,1.0,0.08802717881121387,3.0,0.12703566747482156,8.0,2.0,1.0,1.0,1.0
63.0,0.02828222685323012,1.0,0.015548646330961102,5.0,0.3861893798939212,4.0,3.0,2.0,1.0,3.0
49.0,0.9404584697826734,1.0,0.05460981003543809,5.0,0.19033575779801562,8.0,2.0,1.0,1.0,1.0
36.0,0.1375409348020244,2.0,0.09991887546057159,8.0,0.9047540220986221,7.0,2.0,3.0,1.0,2.0
36.0,0.09377791009228936,1.0,0.30351589691097935,4.0,0.09567042900121564,9.0,2.0,3.0,1.0,2.0
9.0,0.9702292348913368,1.0,0.10408745401088303,8.0,0.6899783699719523,9.0,2.0,3.0,1.0,2.0
38.0,0.3380966557507194,1.0,0.046314324496261175,12.0,0.2194446142248844,10.0,2.0,1.0,3.0,3.0
38.0,0.24263173563560586,2.0,0.07636278998465292,12.0,0.6054888318426611,2.0,1.0,2.0,2.0,2.0
36.0,0.04822863947603451,2.0,0.010522658855348123,14.0,0.6039251539908591,5.0,1.0,2.0,4.0,3.0
42.0,0.9940458469782674,1.0,0.019796488593827072,3.0,0.6509840474298637,6.0,2.0,3.0,1.0,2.0
15.0,0.9255730872283419,2.0,0.057992687997177744,4.0,0.8277373700330732,8.0,2.0,1.0,1.0,1.0
11.0,0.9106877046740103,2.0,0.053485188957240026,7.0,0.1304312762735231,2.0,1.0,2.0,2.0,2.0
42.0,0.08246501935099732,2.0,0.07974989821794237,13.0,0.6653933133671536,2.0,1.0,2.0,2.0,2.0
35.0,0.5246601170983427,2.0,0.3147249773618896,4.0,0.6101467582122799,5.0,1.0,2.0,4.0,3.0
31.0,0.22863947603453405,1.0,0.20947846897076114,11.0,0.9363985493959213,5.0,1.0,2.0,4.0,3.0
33.0,0.6417584598590851,2.0,0.4787307519103863,8.0,0.6887050166724392,5.0,1.0,2.0,4.0,3.0
43.0,0.4611491515331944,1.0,0.20262451157758823,2.0,0.325570122717302,4.0,3.0,2.0,1.0,3.0
32.0,0.28818100625186066,2.0,0.29853872997100345,6.0,0.24446515765811652,1.0,1.0,1.0,1.0,1.0
19.0,0.1375409348020244,1.0,0.1235975905768975,2.0,0.4188279716670402,4.0,3.0,2.0,1.0,3.0
58.0,0.6427508186960404,1.0,0.28741823891861895,2.0,0.7015616404865228,7.0,2.0,3.0,1.0,2.0
64.0,0.1625483774933016,1.0,0.08484138716897185,5.0,0.6040592805384077,9.0,2.0,3.0,1.0,2.0
42.0,0.17058648407264065,1.0,0.05208740748405356,7.0,0.9270826966566836,7.0,2.0,3.0,1.0,2.0
20.0,0.2762727002083954,1.0,0.32112592932200223,7.0,0.6429305122615434,8.0,2.0,1.0,1.0,1.0
28.0,0.4730574575766597,1.0,0.08473947888054477,4.0,0.3128586611793629,6.0,2.0,3.0,1.0,2.0
36.0,0.5415302173265852,1.0,0.19097591699633332,8.0,0.06939860372566198,9.0,2.0,3.0,1.0,2.0
17.0,0.35397439714200657,2.0,0.428478875877318,13.0,0.543585185637933,1.0,1.0,1.0,1.0,1.0
50.0,0.7856504912176243,1.0,0.2902499993195851,10.0,0.882983925187947,1.0,1.0,1.0,1.0,1.0
35.0,0.8005358737719559,1.0,0.372708579819516,8.0,0.3646985718069393,1.0,1.0,1.0,1.0,1.0
1.0,0.711223578445966,2.0,0.1986557995034043,12.0,0.31116085678001215,9.0,2.0,3.0,1.0,2.0
26.0,0.5236677582613873,1.0,0.10780638609921192,7.0,0.8704065901975566,6.0,2.0,3.0,1.0,2.0
41.0,0.3122953259898779,1.0,0.06395875634252864,10.0,0.35127233461687346,4.0,3.0,2.0,1.0,3.0
6.0,0.21434950878237563,1.0,0.6045125070164319,3.0,0.6670800820379086,3.0,2.0,2.0,3.0,1.0
16.0,0.9493896993152724,1.0,0.4272800280037819,14.0,0.251814952902906,2.0,1.0,2.0,2.0,2.0
10.0,0.07412920512057158,1.0,0.39295432386769324,1.0,0.23993032210745066,6.0,2.0,3.0,1.0,2.0
37.0,0.30038701994641254,1.0,0.06442733434727667,10.0,0.6703415642890613,1.0,1.0,1.0,1.0,1.0
11.0,0.14855611789222983,2.0,0.1600034173451306,13.0,0.8209682238928617,8.0,2.0,1.0,1.0,1.0
47.0,0.7469484965763622,1.0,0.1947025676369005,5.0,0.35185298372145146,5.0,1.0,2.0,4.0,3.0
6.0,0.7628262379676491,1.0,0.16027910235632778,6.0,0.29292049521558716,5.0,1.0,2.0,4.0,3.0
10.0,0.9047335516522774,1.0,0.11656251557488077,4.0,0.36187257638422,6.0,2.0,3.0,1.0,2.0
15.0,0.4790116105983923,2.0,0.07447621613051349,4.0,0.9232626367581445,9.0,2.0,3.0,1.0,2.0
65.0,0.6338195891634415,1.0,0.1437507232871498,2.0,0.26691692303513104,6.0,2.0,3.0,1.0,2.0
9.0,0.8362607919023519,2.0,0.5177137356399985,3.0,0.07448098119511848,1.0,1.0,1.0,1.0,1.0
6.0,0.8422149449240846,1.0,0.26535597501102853,7.0,0.9557671019837146,7.0,2.0,3.0,1.0,2.0
20.0,0.04197677880321521,2.0,0.11808259623058052,6.0,0.569599793546985,2.0,1.0,2.0,2.0,2.0
52.0,0.19341073732261588,1.0,0.5253765523572582,2.0,0.4894778572350237,5.0,1.0,2.0,4.0,3.0
11.0,0.1947008038106579,1.0,0.23411045043204867,3.0,0.1366418447663482,8.0,2.0,1.0,1.0,1.0
6.0,0.9106877046740103,1.0,0.13012909187793897,4.0,0.4066750877764874,2.0,1.0,2.0,2.0,2.0
42.0,0.13069365882703182,2.0,0.32355358795315214,1.0,0.27328368953269633,2.0,1.0,2.0,2.0,2.0
39.0,0.8064900267936888,1.0,0.05791373524344892,4.0,0.27470220510835386,8.0,2.0,1.0,1.0,1.0
28.0,0.5028282226853229,2.0,0.08177628757551018,12.0,0.12789560540309272,6.0,2.0,3.0,1.0,2.0
7.0,0.919618934206609,1.0,0.09474676812487555,6.0,0.051861982084768,9.0,2.0,3.0,1.0,2.0
32.0,0.4790116105983923,1.0,0.2857694674910774,7.0,0.7621919333917379,6.0,2.0,3.0,1.0,2.0
36.0,0.6040488240547781,1.0,0.2115420748658065,4.0,0.07178911231994786,8.0,2.0,1.0,1.0,1.0
10.0,0.9047335516522774,1.0,0.11650223882349635,4.0,0.3648437340830838,1.0,1.0,1.0,1.0,1.0
39.0,0.22298303066388808,1.0,0.09796811375245762,4.0,0.02105532125854845,1.0,1.0,1.0,1.0,1.0
15.0,0.5087823757070555,1.0,0.2229557662240366,1.0,0.5722695909649642,7.0,2.0,3.0,1.0,2.0
6.0,0.2110747246204227,2.0,0.40314822843185577,12.0,0.03462672072475875,1.0,1.0,1.0,1.0,1.0
16.0,0.26228044060732364,2.0,0.20162768841915812,4.0,0.7066550536845752,6.0,2.0,3.0,1.0,2.0
18.0,0.5236677582613873,1.0,0.13678757932174793,13.0,0.7993543249869269,9.0,2.0,3.0,1.0,2.0
42.0,0.7022923489133672,1.0,0.05234120222544057,4.0,0.09313475813078528,6.0,2.0,3.0,1.0,2.0
30.0,0.8064900267936888,1.0,0.1395991766598468,5.0,0.40765811652371153,9.0,2.0,3.0,1.0,2.0
19.0,0.9345043167609408,1.0,0.10079056078265367,1.0,0.8016107070336641,8.0,2.0,1.0,1.0,1.0
8.0,0.3477225364691872,1.0,0.08506726334965019,16.0,0.5334093949704243,9.0,2.0,3.0,1.0,2.0
42.0,0.2646621018160166,1.0,0.2539987088250644,7.0,0.5835846083844373,1.0,1.0,1.0,1.0,1.0
48.0,0.3242036320333432,1.0,0.21614934858559487,10.0,0.382659644547671,7.0,2.0,3.0,1.0,2.0
54.0,0.8660315570110153,1.0,0.19596655984502356,5.0,0.03560974947198284,4.0,3.0,2.0,1.0,3.0
38.0,0.5325989877939863,2.0,0.1979154342485814,1.0,0.11276052808508039,8.0,2.0,1.0,1.0,1.0
39.0,0.22298303066388808,1.0,0.09841457673497689,4.0,0.026148734456600736,7.0,2.0,3.0,1.0,2.0
11.0,0.0732360821673117,2.0,0.10846002770846339,4.0,0.9819048007117197,1.0,1.0,1.0,1.0,1.0
69.0,0.9315272402500745,1.0,0.19095859566610096,5.0,0.13183875612058485,5.0,1.0,2.0,4.0,3.0
13.0,0.1172968145281334,1.0,0.2673845349227758,5.0,0.22834705159288013,1.0,1.0,1.0,1.0,1.0
6.0,0.5534385233700505,2.0,0.2525640156156256,3.0,0.3740364960033685,2.0,1.0,2.0,2.0,2.0
47.0,0.28252456088121464,1.0,0.12642687151739201,5.0,0.9159238772419507,9.0,2.0,3.0,1.0,2.0
31.0,0.14676987198571,1.0,0.14173201553621723,1.0,0.22043867870070424,5.0,1.0,2.0,4.0,3.0
6.0,0.8362607919023519,1.0,0.19144726592131045,8.0,0.9104060129440608,3.0,2.0,2.0,3.0,1.0
39.0,0.19083060434653165,1.0,0.1724279404029492,7.0,0.2902396620690124,2.0,1.0,2.0,2.0,2.0
64.0,0.6367966656743078,1.0,0.1783911854884666,5.0,0.42872447351085574,7.0,2.0,3.0,1.0,2.0
18.0,0.7261089610002978,1.0,0.1761171066504167,1.0,0.5904989168007931,2.0,1.0,2.0,2.0,2.0
55.0,0.055373623102113745,1.0,0.209261943106456,10.0,0.5708621111179023,3.0,2.0,2.0,3.0,1.0
35.0,0.40160762131586786,1.0,0.16368420617710533,6.0,0.9177558081888502,7.0,2.0,3.0,1.0,2.0
26.0,0.14766299493896995,1.0,0.10996671045172185,8.0,0.9821840895354128,4.0,3.0,2.0,1.0,3.0
4.0,0.782673414706758,1.0,0.25798560429355194,1.0,0.633022974689132,5.0,1.0,2.0,4.0,3.0
49.0,0.8303066388806193,1.0,0.1638764125981994,15.0,0.4280096978587291,3.0,2.0,2.0,3.0,1.0
16.0,0.4393172571201745,2.0,0.033583343818700734,1.0,0.5075620207947084,10.0,2.0,1.0,3.0,3.0
50.0,0.8958023221196785,1.0,0.0628402158948334,5.0,0.3090275655522279,6.0,2.0,3.0,1.0,2.0
7.0,0.919618934206609,1.0,0.09476677724773017,6.0,0.05271088428444334,8.0,2.0,1.0,1.0,1.0
9.0,0.43137838642453114,2.0,0.22496025607539347,7.0,0.0045237998220701015,4.0,3.0,2.0,1.0,3.0
26.0,0.19946412622804405,1.0,0.01982372058207896,7.0,0.9267923721043947,1.0,1.0,1.0,1.0,1.0
20.0,0.9255730872283419,2.0,0.15646793864877198,8.0,0.5095391140177523,4.0,3.0,2.0,1.0,3.0
17.0,0.7767192616850254,1.0,0.019854850331453167,7.0,0.5614010961025203,9.0,2.0,3.0,1.0,2.0
35.0,0.24084548972908598,2.0,0.11263166658622788,12.0,0.6675045331377463,4.0,3.0,2.0,1.0,3.0
39.0,0.19083060434653165,1.0,0.17164901009613728,7.0,0.2906641131688501,9.0,2.0,3.0,1.0,2.0
60.0,0.8451920214349509,1.0,0.09473955757467928,5.0,0.7828228035504486,1.0,1.0,1.0,1.0,1.0
36.0,0.5415302173265852,1.0,0.11225461207664818,8.0,0.013437272918661619,7.0,2.0,3.0,1.0,2.0
24.0,0.2557308722834177,2.0,0.33636201892991713,2.0,0.3851842796895055,1.0,1.0,1.0,1.0,1.0
68.0,0.12384638285203925,1.0,0.07276255796133965,5.0,0.6059022472139031,7.0,2.0,3.0,1.0,2.0
4.0,0.7261089610002978,1.0,0.24409984158423273,7.0,0.5300248219003185,8.0,2.0,1.0,1.0,1.0
3.0,0.4790116105983923,2.0,0.18199153142738933,8.0,0.3009740303839076,8.0,2.0,1.0,1.0,1.0
7.0,0.10389997022923486,1.0,0.3794398100769403,12.0,0.7544066513185149,5.0,1.0,2.0,4.0,3.0
57.0,0.5623697529026497,1.0,0.07817513806972105,10.0,0.416985004991545,2.0,1.0,2.0,2.0,2.0
9.0,0.46412622804406073,1.0,0.2766378998759625,7.0,0.37276314270385535,1.0,1.0,1.0,1.0,1.0
4.0,0.33581423042572195,1.0,0.14832716897998893,13.0,0.013861724018499277,6.0,2.0,3.0,1.0,2.0
8.0,0.6874069663590354,2.0,0.12199776591580354,4.0,0.2850231580520072,7.0,2.0,3.0,1.0,2.0
27.0,0.12384638285203925,2.0,0.13165505612092523,8.0,0.026148734456600736,7.0,2.0,3.0,1.0,2.0
18.0,0.2944328669246799,1.0,0.08545912996725474,4.0,0.33715339323187266,6.0,2.0,3.0,1.0,2.0
8.0,0.9612980053587377,1.0,0.05491957120785311,6.0,0.5315774640235248,9.0,2.0,3.0,1.0,2.0
33.0,0.41947008038106576,2.0,0.43198170389697665,1.0,0.8885128252144328,4.0,3.0,2.0,1.0,3.0
3.0,0.4135159273593331,1.0,0.21315082496883855,4.0,0.6789647128333639,4.0,3.0,2.0,1.0,3.0
25.0,0.7707651086632927,2.0,0.012199755245231921,1.0,0.4860822484363222,1.0,1.0,1.0,1.0,1.0
22.0,0.3718368562072046,1.0,0.16885478642787508,11.0,0.18441551385747953,8.0,2.0,1.0,1.0,1.0
38.0,0.5802322119678478,2.0,0.0943821519683244,6.0,0.2800638714015036,5.0,1.0,2.0,4.0,3.0
39.0,0.9612980053587377,1.0,0.5113211149133747,12.0,0.6461699230555047,4.0,3.0,2.0,1.0,3.0
11.0,0.7767192616850254,2.0,0.13526872402854956,7.0,0.3692223716290094,7.0,2.0,3.0,1.0,2.0
41.0,0.4730574575766597,1.0,0.009810790975681775,5.0,0.04932631121433764,1.0,1.0,1.0,1.0,1.0
65.0,0.6219112831199762,1.0,0.18682960125066286,11.0,0.060339968352926016,6.0,2.0,3.0,1.0,2.0
32.0,0.5087823757070555,1.0,0.10530948217153593,4.0,0.6049081827380831,7.0,2.0,3.0,1.0,2.0
32.0,0.5504614468591842,1.0,0.33176235087302436,1.0,0.9868420159050317,1.0,1.0,1.0,1.0,1.0
12.0,0.1375409348020244,1.0,0.1649098857948602,7.0,0.7662692106567787,7.0,2.0,3.0,1.0,2.0
32.0,0.711223578445966,1.0,0.07662317027978449,7.0,0.253501721573661,6.0,2.0,3.0,1.0,2.0
29.0,0.9493896993152724,1.0,0.08981904363818821,5.0,0.03731858959992937,9.0,2.0,3.0,1.0,2.0
26.0,0.5306142701200753,1.0,0.48360745451925446,7.0,0.8329649097786743,10.0,2.0,1.0,3.0,3.0
9.0,0.5018358638483675,2.0,0.22401298004946055,7.0,0.006646055321258559,5.0,1.0,2.0,4.0,3.0
10.0,0.4730574575766597,2.0,0.24104161182040582,4.0,0.2566180415486693,1.0,1.0,1.0,1.0,1.0
26.0,0.15093777910092288,1.0,0.011145891154484947,6.0,0.07136466122011018,4.0,3.0,2.0,1.0,3.0
20.0,0.4014091495484767,2.0,0.21940990170815242,8.0,0.48353554183729597,10.0,2.0,1.0,3.0,3.0
4.0,0.9612980053587377,2.0,0.3402935914366299,1.0,0.2608404810898546,8.0,2.0,1.0,1.0,1.0
17.0,0.45221792200059546,2.0,0.395531812313233,4.0,0.6634051844155139,9.0,2.0,3.0,1.0,2.0
9.0,0.8511461744566837,1.0,0.10053111952159975,3.0,0.11063827258589196,7.0,2.0,3.0,1.0,2.0
20.0,0.14915153319440305,2.0,0.12399794442053723,14.0,0.12012135905846563,4.0,3.0,2.0,1.0,3.0
28.0,0.9493896993152724,1.0,0.052647068715533527,4.0,0.241482964230657,2.0,1.0,2.0,2.0,2.0
15.0,0.8005358737719559,1.0,0.10895696146355621,7.0,0.49810100577932614,4.0,3.0,2.0,1.0,3.0
18.0,0.9345043167609408,2.0,0.22323755341733836,1.0,0.688839143219988,4.0,3.0,2.0,1.0,3.0
33.0,0.6635903542721047,2.0,0.07390647695953352,12.0,0.5937603990519461,4.0,3.0,2.0,1.0,3.0
15.0,0.04674010122060135,2.0,0.007296183946541877,7.0,0.29858352178962166,4.0,3.0,2.0,1.0,3.0
28.0,0.43137838642453114,2.0,0.0687564323064619,3.0,0.29999100163668346,9.0,2.0,3.0,1.0,2.0
1.0,0.3122953259898779,1.0,0.13505108979615277,6.0,0.2988628106133149,7.0,2.0,3.0,1.0,2.0
16.0,0.26228044060732364,2.0,0.20206184851586004,4.0,0.7015616404865228,2.0,1.0,2.0,2.0,2.0
22.0,0.6010717475439118,1.0,0.4159099304046233,11.0,0.10047351764697893,1.0,1.0,1.0,1.0,1.0
20.0,0.08157189639773738,2.0,0.28451525355256296,1.0,0.05271088428444334,5.0,1.0,2.0,4.0,3.0
35.0,0.4909199166418578,2.0,0.06104614356807654,3.0,0.8172822905418713,5.0,1.0,2.0,4.0,3.0
24.0,0.17743376004763323,1.0,0.24218162689987685,2.0,0.3695016604527025,7.0,2.0,3.0,1.0,2.0
17.0,0.5921405180113128,2.0,0.18557298276914957,13.0,0.980776609688351,8.0,2.0,1.0,1.0,1.0
26.0,0.4762330058549172,1.0,0.23495853059257876,7.0,0.37671732914994327,5.0,1.0,2.0,4.0,3.0
10.0,0.9553438523370053,2.0,0.08326833575489183,1.0,0.770949208483589,2.0,1.0,2.0,2.0,2.0
42.0,0.09883894016076211,2.0,0.24466440837078499,6.0,0.819683834864753,3.0,2.0,2.0,3.0,1.0
1.0,0.28252456088121464,1.0,0.03827027533747622,1.0,0.9219892834586314,9.0,2.0,3.0,1.0,2.0
6.0,0.3301577850550759,1.0,0.15438095850219372,12.0,0.07856929418875513,3.0,2.0,2.0,3.0,1.0
11.0,0.41947008038106576,1.0,0.04380572728521824,12.0,0.6187588710279867,2.0,1.0,2.0,2.0,2.0
33.0,0.18785352783566533,2.0,0.13629470958299117,1.0,0.37557810239797895,7.0,2.0,3.0,1.0,2.0
36.0,0.8511461744566837,1.0,0.12015097118722022,12.0,0.9509529776093557,4.0,3.0,2.0,1.0,3.0
12.0,0.8124441798154212,2.0,0.026494467808501728,4.0,0.11248123926138717,4.0,3.0,2.0,1.0,3.0
30.0,0.8958023221196785,1.0,0.13633849833274553,10.0,0.04918114893819314,1.0,1.0,1.0,1.0,1.0
65.0,0.20571598690086335,1.0,0.20522816058889123,11.0,0.026584221285034182,8.0,2.0,1.0,1.0,1.0
25.0,0.14081571896397738,1.0,0.10758238798668888,1.0,0.12434379859965097,6.0,2.0,3.0,1.0,2.0
42.0,0.5385531408157189,2.0,0.11750667688122278,4.0,0.5314323017473803,1.0,1.0,1.0,1.0,1.0
28.0,0.657636201250372,1.0,0.260548911785119,7.0,0.8017448335812128,7.0,2.0,3.0,1.0,2.0
36.0,0.12354867520095264,2.0,0.045323135542296986,7.0,0.11234711271383849,3.0,2.0,2.0,3.0,1.0
42.0,0.3655849955343852,2.0,0.3837980180925327,1.0,0.38435744894702173,2.0,1.0,2.0,2.0,2.0
29.0,0.7171777314676988,1.0,0.038817858435557406,10.0,0.3292450203396967,4.0,3.0,2.0,1.0,3.0
16.0,0.17147960702590054,1.0,0.3679095738138728,14.0,0.7456493762266637,6.0,2.0,3.0,1.0,2.0
33.0,0.08812146472164334,2.0,0.19263061511436494,6.0,0.6499789472254481,7.0,2.0,3.0,1.0,2.0
42.0,0.40458469782673406,1.0,0.0839912349758704,7.0,0.07856929418875513,6.0,2.0,3.0,1.0,2.0
56.0,0.28818100625186066,2.0,0.3267357065866904,2.0,0.04253509361693458,7.0,2.0,3.0,1.0,2.0
54.0,0.13009824352485855,1.0,0.31155988449375915,10.0,0.9963251023776054,10.0,2.0,1.0,3.0,3.0
38.0,0.1187853527835665,1.0,0.06488710698329656,13.0,0.3057881547582667,7.0,2.0,3.0,1.0,2.0
